Order Date,Book Title,ISBN,Quantity,Cost Price (NPR),Supplier
2022-01-12,Sathi Haru,978-9937-188-92-1,10,1270.19,Mahatma Publication
2021-09-10,Structural Engineering Basics,978-9937-454-23-3,83,265.99,Birat Books
2022-10-01,Sajha Ko Dhan,978-9937-460-70-9,49,632.86,Ekta Books
2020-05-08,Prashasan Ko Adhikar,978-9937-923-70-2,43,625.73,Pragya Publications
2024-02-22,Adhunik Nepal,978-9937-583-13-4,97,938.55,Bhimsen Publications
2021-03-25,Katha Haru Ko Sanga,978-9937-948-56-4,10,415.66,Nirmal Publication
2020-01-01,Nepal Ko Udyog Ko Itihas,978-9937-567-84-4,54,1107.95,Katha Ghar
2021-07-08,Bhul Ko Ghar,978-9937-380-66-5,47,1288.1,Siddhartha Books
2021-07-24,Dhalko Baato,978-9937-258-10-6,89,1483.39,Bhimsen Publications
2019-07-05,Introduction to Human Rights,978-9937-904-76-0,87,939.55,Ratna Pustak Bhandar
2024-07-08,Sanjay,978-9937-312-13-5,74,210.23,Om Publications
2022-11-02,Samudayik Vikas,978-9937-817-77-6,77,1354.91,Katha Ghar
2022-10-04,Climate Change and Its Impact,978-9937-782-47-9,64,605.82,Srijana Prakashan
2021-06-01,Janata Ko Manch,978-9937-947-63-1,21,840.7,Gyan Books
2024-09-13,Aasha,978-9937-934-87-5,95,244.02,Nepalaya
2022-04-23,Bal Katha,978-9937-128-82-5,92,1061.16,Shankar Books
2021-05-19,Dhan Ko Dhoka,978-9937-826-70-9,32,1026.54,Ratna Pustak Bhandar
2024-06-25,Khushi Ko Bal Kahani,978-9937-532-72-8,73,311.55,Sajha Yatayat
2020-08-17,Chitwan,978-9937-571-40-1,21,308.84,Himal Books
2022-03-27,Samriddhi,978-9937-679-61-6,87,998.71,Samyukta Prakashan
2024-03-14,Aashako Manchhe,978-9937-970-99-1,96,356.22,Om Publications
2019-06-30,Birgunj,978-9937-368-60-0,14,371.35,Adroit Publishers
2024-03-05,Human Resource Management,978-9937-296-80-9,23,690.54,Ekta Books
2019-08-20,Sathi,978-9937-174-82-2,91,719.3,Shankar Books
2023-04-07,Development Economics,978-9937-460-61-5,34,296.31,Bhimsen Publications
2023-03-27,Ramailo Sundar Ghar Kahani,978-9937-851-85-6,40,973.5,Jagadamba Press
2019-12-27,Ramailo Ghar Yatra,978-9937-876-13-6,94,1317.36,Avinash Prakashan
2019-08-18,Nepal Ko Manavadhikar,978-9937-957-91-8,24,1221.29,Ekta Books
2022-05-10,History of Physical Education in Nepal,978-9937-992-28-2,52,1452.59,Adroit Publishers
2021-10-04,Anthropology of Music,978-9937-275-35-2,98,1236.91,Educational Publishing House
2023-12-05,Special Education Needs,978-9937-527-62-0,26,1011.92,Srijana Prakashan
2021-03-20,Chhito Khushi Ramailo,978-9937-438-31-0,11,1301.25,Fine Print
2024-03-05,Yatra Ra Samasya,978-9937-902-72-5,15,1428.1,Katha Ghar
2024-09-04,Software Development Lifecycle,978-9937-998-59-4,49,1308.17,Educational Publishing House
2020-05-26,Aasha Ko Paila,978-9937-337-27-9,78,1054.08,Srijana Prakashan
2019-01-07,Research Methodology,978-9937-452-11-5,24,1212.5,Srijana Prakashan
2019-12-30,Ek Chhoto Yatra,978-9937-186-28-8,71,975.88,Sita Ram Prakashan
2023-11-01,Jatra Ma Sangharsha,978-9937-777-69-1,40,606.36,Jagadamba Press
2019-12-09,Man Ko Yatra,978-9937-976-97-5,27,586.34,Birat Books
2022-01-15,Duniya Ko Ramailo,978-9937-229-34-5,43,786.87,Pragya Publications
2019-11-21,Civil Engineering Basics,978-9937-423-50-9,43,1133.36,Ratna Pustak Bhandar
2023-07-25,Women Empowerment in Nepal,978-9937-772-65-8,42,247.12,Ekta Books
2021-02-28,Nepali Udyog Ko Itihas Ra Katha,978-9937-684-65-4,44,1158.35,Jagadamba Press
2024-05-14,Katha Ko Yatra,978-9937-601-78-2,77,1232.58,Gyan Books
2021-08-16,Introduction to Human Behavior,978-9937-171-16-7,89,1349.31,Jagadamba Press
2020-11-24,Nepal Ko Udyog Ko Itihas,978-9937-567-84-4,48,430.76,Avinash Prakashan
2022-08-31,Manas Ka Safar,978-9937-140-21-7,84,773.07,Gyan Books
2021-01-05,Exercise Physiology,978-9937-232-63-2,92,1386.33,Sajha Prakashan
2019-06-12,Introduction to Law,978-9937-843-72-3,39,1052.99,Jagadamba Press
2021-03-18,Ek Chhaina,978-9937-703-37-7,55,580.12,Himalayan Book Centre
2021-09-03,Khushi Ko Katha,978-9937-962-49-3,97,641.81,Himalayan Book Centre
2020-12-28,Katha Pustak,978-9937-888-20-4,76,834.48,Srijana Prakashan
2019-03-20,Child Rights and Protection,978-9937-701-89-0,18,754.52,Bhimsen Publications
2021-08-20,Samajik Adhikar,978-9937-907-91-2,77,1390.12,Srijana Prakashan
2024-02-06,Anand Ra Duniya,978-9937-940-19-5,69,377.63,Mandala Book Point
2023-05-20,Naulo Ghar,978-9937-394-45-8,71,223.91,Pragya Publications
2022-06-14,Management Accounting,978-9937-429-90-5,48,837.08,Ratna Pustak Bhandar
2023-02-05,Bhagya Rekha,978-9937-889-64-2,54,1490.34,Adroit Publishers
2021-08-10,Sahakarita,978-9937-696-59-8,60,897.49,Om Publications
2022-09-30,Chhito Ramailo Kahani,978-9937-994-44-5,17,840.75,Katha Ghar
2019-01-03,Sabai Ko Itihas,978-9937-546-37-6,38,1433.0,Siddhartha Books
2023-10-06,Nepal Ko Mitra,978-9937-540-97-6,63,266.75,Nirmal Publication
2024-04-08,Social Work Principles and Practices,978-9937-312-71-5,93,239.29,Educational Publishing House
2022-04-14,Communication in Organizations,978-9937-702-99-5,36,779.71,Sajha Yatayat
2024-09-11,Entrepreneurship Development,978-9937-425-96-3,55,1093.99,Sita Ram Prakashan
2019-12-19,Health Systems and Policies,978-9937-345-44-7,64,1282.58,Sajha Prakashan
2021-04-29,Nepali Udyog Ko Itihas Ra Katha,978-9937-684-65-4,68,1162.75,Ekta Books
2024-03-24,Jatiya Sangharsha,978-9937-793-99-7,49,678.25,Sajha Prakashan
2021-09-18,Curriculum Development and Design,978-9937-933-89-8,34,1390.81,Pragya Publications
2020-07-31,Mantra Ko Katha,978-9937-784-75-7,19,784.63,Sajha Prakashan
2019-12-24,Ritu,978-9937-639-83-4,70,268.43,Ekta Books
2022-06-12,Cybersecurity Essentials,978-9937-295-62-8,22,211.81,Shree Tara Books
2022-11-13,Introduction to Robotics,978-9937-234-53-1,14,904.06,Mahatma Publication
2023-03-28,Bal Ramailo,978-9937-665-68-3,79,355.91,Nirmal Publication
2018-12-24,Food Security and Nutrition,978-9937-638-72-4,18,667.27,Bhimsen Publications
2023-05-25,Nepal Ko Rajneeti,978-9937-338-68-6,73,1265.08,Shrestha Books
2024-01-09,Yatra Ko Vishwa,978-9937-725-41-9,12,593.61,Mahatma Publication
2023-03-20,Chhalphal Yatra Ramailo,978-9937-376-59-4,20,355.58,Shankar Books
2019-06-08,Chhito Thito,978-9937-188-51-7,76,996.21,Samyukta Prakashan
2021-06-24,Adhyan Ko Mahatv,978-9937-602-24-2,28,959.39,Bhimsen Publications
2023-11-07,Yatra Ra Duniya,978-9937-133-64-0,85,612.46,Adroit Publishers
2022-07-07,Qualitative Research Methods,978-9937-898-21-9,65,426.18,Ekta Books
2019-12-02,Baal Bihani,978-9937-924-82-2,42,954.16,Samyukta Prakashan
2023-05-29,Sathi Ko Aastha,978-9937-966-28-5,54,1498.72,Himalayan Book Centre
2020-12-01,Nepal Ko Ghar Ko Itihas,978-9937-997-70-3,96,158.35,Katha Ghar
2020-07-27,Foundations of Geometry,978-9937-502-92-3,94,185.53,Educational Publishing House
2019-02-21,Healthcare Quality Management,978-9937-409-55-2,48,615.27,Ekta Books
2020-07-26,Maile Kahan Pako,978-9937-928-70-4,90,1043.42,Himal Books
2024-07-23,Kranti,978-9937-714-39-9,49,455.97,Himal Books
2021-02-05,Yatra Ra Khushi,978-9937-758-84-6,47,487.16,Mahatma Publication
2019-09-10,Ghar Ko Dhan,978-9937-479-34-1,49,1485.3,Bookhill
2022-02-11,Shiksha Ra Khusi,978-9937-662-31-0,26,280.75,Himalayan Book Centre
2022-04-23,Shree 5 Ko Yatra,978-9937-738-25-6,27,409.73,Siddhartha Books
2019-08-25,Dev,978-9937-581-66-0,73,649.06,Educational Publishing House
2022-07-19,Saathi,978-9937-752-19-9,39,456.72,Sita Ram Prakashan
2019-06-23,Samaya Ka Safar,978-9937-253-92-5,92,839.86,Nirmal Publication
2024-03-25,Environmental Engineering Principles,978-9937-762-92-1,10,1291.66,Ekta Books
2019-11-27,Nepali Itihas Ko Anubhav,978-9937-615-32-6,23,1202.27,Shankar Books
2024-05-26,Ghar ko Ghar,978-9937-691-75-9,19,467.06,Fine Print
2020-10-18,Bholi Ka Katha,978-9937-508-97-6,43,887.72,Himal Books
2020-08-25,Jatra Ka Hunkar,978-9937-645-21-0,35,265.78,Bookhill
2020-05-12,Samaya Ko Dhamaka,978-9937-700-37-0,60,1337.78,Ratna Pustak Bhandar
2019-08-10,History of Nepal,978-9937-112-35-7,93,1194.97,Sita Ram Prakashan
2021-03-03,Bhoj Ko Katha,978-9937-288-81-4,88,1480.56,Sajha Prakashan
2024-03-06,Phool Ko Ghar,978-9937-578-58-7,63,342.94,Ekta Books
2022-05-08,Jatra Ko Maya,978-9937-188-89-7,16,713.62,Himalayan Book Centre
2023-11-29,Health Communication,978-9937-370-37-9,12,409.0,Ekta Books
2022-11-08,Katha Ra Samaya,978-9937-374-26-5,78,688.97,Samyukta Prakashan
2022-12-17,Ek Chhito Sapana,978-9937-342-89-4,97,161.92,Sajha Yatayat
2023-02-10,Sundar Pustak,978-9937-939-21-6,57,711.8,Shankar Books
2022-12-05,Kheti Ko Katha,978-9937-219-80-4,30,546.53,Fine Print
2021-10-12,Nepali Rhymes,978-9937-398-35-1,28,1236.49,Bhimsen Publications
2022-04-17,Web Development Fundamentals,978-9937-324-51-4,39,1197.99,Adroit Publishers
2021-09-17,Sunya Manchhe,978-9937-683-87-4,24,840.04,Mandala Book Point
2023-12-05,Chhalphal Ko Kahani,978-9937-818-83-1,42,1080.72,Bhimsen Publications
2021-12-14,Yatra Ma Chaya,978-9937-479-38-4,15,375.3,Mitra and Brothers
2023-12-26,Jatra Ma Khushi,978-9937-554-94-4,44,1236.88,Gyan Books
2022-01-08,Yatra,978-9937-236-75-3,66,942.79,Sajjan Publications
2023-03-12,Journalism: Principles and Ethics,978-9937-986-47-5,23,1013.17,Avinash Prakashan
2022-10-31,Sustainable Development Goals,978-9937-327-48-6,73,588.15,Bhimsen Publications
2021-01-30,Dharma Ra Ramailo,978-9937-986-59-4,43,665.56,Sajha Prakashan
2021-06-16,Sita Ram,978-9937-721-48-7,26,1075.0,Mandala Book Point
2019-10-26,Bal Katha Sangraha,978-9937-773-91-6,57,1261.31,Jagadamba Press
2021-11-24,Development Economics,978-9937-460-61-5,61,405.01,Mitra and Brothers
2019-08-06,Philosophy of Art,978-9937-105-78-8,55,1401.75,Nirmal Publication
2020-05-25,Bato Ko Ghar,978-9937-925-92-3,31,1379.28,Avinash Prakashan
2019-04-06,Prakriti Ra Adhikar,978-9937-699-92-0,85,845.66,Shrestha Books
2019-11-29,Saroj,978-9937-931-24-5,91,1370.97,Shree Tara Books
2023-10-05,Jatiya Sangharsha Ko Anubhav,978-9937-522-80-4,69,311.23,Bookhill
2022-01-03,Shiksha Ko Mahatv,978-9937-213-87-2,27,771.41,Om Publications
2024-11-01,Software Engineering Principles,978-9937-946-82-1,31,616.43,Nirmal Publication
2019-06-27,Safar,978-9937-186-78-3,59,1238.52,Mandala Book Point
2019-03-01,Ghar Ko Yatra,978-9937-492-54-5,44,458.15,Bhimsen Publications
2021-11-15,Dharma Ko Kahani,978-9937-838-22-7,50,274.53,Bhimsen Publications
2023-04-13,Fundamentals of Information Technology,978-9937-851-73-2,67,1106.79,Gyan Books
2021-04-13,Organic Farming: Theory and Practice,978-9937-237-59-4,24,710.86,Birat Books
2021-12-28,Manoj,978-9937-763-12-0,41,242.89,Sajha Yatayat
2022-01-02,Organic Chemistry: Concepts and Applications,978-9937-107-39-9,78,1116.82,Birat Books
2022-09-03,Musical Theory and Composition,978-9937-338-71-4,40,215.89,Sajha Yatayat
2024-01-15,Khushi Ko Duniya,978-9937-723-87-4,54,313.35,Bhimsen Publications
2024-05-13,Khushi Ra Samaya,978-9937-584-26-4,99,556.71,Ekta Books
2023-07-24,Bhulbhal,978-9937-170-55-1,56,755.31,Siddhartha Books
2019-03-04,Bal Sundarta,978-9937-113-19-9,26,462.24,Srijana Prakashan
2020-03-29,Language Teaching Methods,978-9937-811-87-3,41,1241.99,Adroit Publishers
2020-09-03,Sukh Ko Sathi,978-9937-461-18-3,38,679.11,Sajjan Publications
2022-09-16,Maya Ra Sathi,978-9937-647-42-3,57,1009.24,Birat Books
2022-12-22,Katha Ko Chha,978-9937-133-55-6,86,692.3,Fine Print
2022-08-27,Samman,978-9937-266-56-0,10,745.43,Ekta Books
2020-06-04,Fagun Daka,978-9937-501-24-1,49,685.34,Pragya Publications
2019-11-26,Water Resources Engineering,978-9937-105-89-8,91,171.86,Nirmal Publication
2022-06-06,Chhito Bhayo,978-9937-741-82-9,97,939.84,Mahatma Publication
2023-10-07,Udaan,978-9937-766-94-5,41,1224.95,Shrestha Books
2021-11-05,Political Science: Theory and Practice,978-9937-132-65-4,65,667.86,Avinash Prakashan
2020-07-17,Baal Ramailo Ghar,978-9937-654-20-5,30,589.02,Sajha Prakashan
2023-01-18,Samajik Itihas Ko Mahatv,978-9937-500-62-0,60,501.57,Sajha Yatayat
2021-10-07,Samarpan,978-9937-669-77-4,91,1389.36,Pragya Publications
2021-10-25,Mangal,978-9937-108-15-9,71,813.13,Educational Publishing House
2023-12-02,Sathi Ko Khushi,978-9937-851-33-2,26,840.72,Mandala Book Point
2024-03-21,Prashasan Ko Adhikar,978-9937-923-70-2,51,718.25,Fine Print
2022-02-03,Yatra Ma Muktak,978-9937-255-45-5,25,1392.46,Himalayan Book Centre
2024-04-19,Sukarma,978-9937-362-55-8,68,309.74,Sajha Prakashan
2021-05-28,Bal Ghar,978-9937-443-88-3,66,879.22,Srijana Prakashan
2022-05-12,International Business: Concepts and Applications,978-9937-594-63-0,23,1356.49,Ekta Books
2021-02-01,Investment Management,978-9937-568-30-0,12,355.21,Himal Books
2021-05-24,Jatiya Bato Ra Udyog,978-9937-894-98-2,99,812.4,Mahatma Publication
2022-08-26,Supply Chain Management,978-9937-431-56-9,29,842.04,Shankar Books
2024-04-27,Khushi Ko Bal Pataka,978-9937-492-46-4,67,1177.59,Sita Ram Prakashan
2022-04-18,Shree 5 Ambareesh,978-9937-792-38-5,27,725.63,Mahatma Publication
2021-04-14,Maya Ko Ankh,978-9937-799-96-6,100,1069.36,Sajjan Publications
2020-04-04,Nepali Bhasha Ra Samaj,978-9937-466-69-2,94,869.73,Himal Books
2019-08-31,Arthik Itihas,978-9937-694-42-6,67,1259.19,Mandala Book Point
2023-12-26,Baal Ghar Ko Yatra,978-9937-778-64-5,45,375.55,Katha Ghar
2018-12-07,Baal Yatra Sundar Ghar,978-9937-411-38-2,37,1219.92,Mitra and Brothers
2023-11-06,Samaya Ra Sathi,978-9937-347-86-9,81,570.95,Fine Print
2019-06-13,Anmol,978-9937-947-40-5,44,1339.87,Sajha Yatayat
2024-06-09,Research Methodology,978-9937-452-11-5,51,367.18,Sajha Prakashan
2022-10-07,Yugal Gurung,978-9937-979-11-1,20,1194.45,Educational Publishing House
2022-03-07,Nepal Ko Manavadhikar,978-9937-957-91-8,85,669.4,Om Publications
2019-11-09,Bholi Ko Ghar,978-9937-256-68-9,16,401.64,Gyan Books
2020-06-20,Business Law: An Overview,978-9937-465-32-1,12,1322.95,Fine Print
2020-10-05,Nepal Ko Udyog,978-9937-368-40-7,46,227.74,Mahatma Publication
2020-04-02,Sathi ko Diary,978-9937-893-95-1,31,1396.3,Pragya Publications
2019-05-25,Yatra Ko Marg,978-9937-131-47-5,20,764.13,Fine Print
2019-08-04,Dhan Ko Dhoka,978-9937-826-70-9,90,1098.46,Bookhill
2023-06-27,Samaya Ko Ramailo,978-9937-828-23-0,81,1166.12,Om Publications
2019-06-14,Chhito Bato,978-9937-724-79-1,41,1004.17,Mahatma Publication
2019-12-22,Aashako Manchhe,978-9937-970-99-1,73,1307.97,Samyukta Prakashan
2021-05-15,Sanjay,978-9937-312-13-5,84,907.91,Pragya Publications
2023-05-10,Maya Ra Yatra,978-9937-278-20-8,83,779.72,Pragya Publications
2024-08-01,Maya Ko Safar,978-9937-146-85-6,24,645.66,Bhimsen Publications
2023-05-03,Chhya Jatra,978-9937-885-74-5,79,1103.58,Avinash Prakashan
2024-03-11,Sanjhi,978-9937-953-44-7,39,214.32,Nirmal Publication
2024-02-13,Baal Manch,978-9937-612-80-5,68,645.69,Sita Ram Prakashan
2022-02-02,Chhito Haru,978-9937-208-56-3,74,300.13,Sajha Prakashan
2019-11-20,Khusi Ko Ramailo Ghar,978-9937-279-81-7,65,1461.87,Jagadamba Press
2021-02-15,Khusi Ko Ramailo Ghar Ko Kahani,978-9937-852-88-1,97,1024.92,Sajjan Publications
2023-11-30,Bal Sahitya,978-9937-950-94-6,19,1453.19,Pragya Publications
2024-07-26,Basanta,978-9937-437-28-0,73,849.17,Mitra and Brothers
2019-11-13,Prakriti Ra Bikas,978-9937-632-35-2,24,664.19,Shree Tara Books
2022-08-08,Introduction to Blockchain Technology,978-9937-235-56-8,22,1397.18,Himal Books
2023-04-11,Yashoda,978-9937-639-55-5,88,203.24,Sita Ram Prakashan
2021-07-15,Aama,978-9937-547-47-3,90,1042.31,Ekta Books
2024-10-25,Prashasan Ko Itihas,978-9937-929-68-7,44,1178.1,Nirmal Publication
2019-09-25,Jatra Ko Samaya,978-9937-756-25-7,18,511.34,Ekta Books
2022-02-16,Kaun,978-9937-553-75-0,44,564.27,Shrestha Books
2022-07-31,Katha Ko Samaya,978-9937-810-13-4,32,196.99,Siddhartha Books
2024-01-18,Nepal Ko Mitra,978-9937-540-97-6,92,808.43,Mahatma Publication
2023-12-03,Nepal Ko Manavadhikar,978-9937-957-91-8,37,965.14,Adroit Publishers
2020-10-30,Naya Sangraha,978-9937-789-72-3,18,1228.27,Katha Ghar
2023-04-07,Katha Ko Chha,978-9937-133-55-6,44,1418.65,Siddhartha Books
2020-03-19,Nepal Ko Chitwan,978-9937-503-65-4,81,219.54,Srijana Prakashan
2018-12-09,Arthik Bhatta,978-9937-653-52-6,59,864.99,Om Publications
2019-12-18,Swargadwari,978-9937-432-82-9,100,314.27,Shree Tara Books
2019-09-02,Sadhak,978-9937-119-11-5,31,954.17,Shree Tara Books
2023-03-27,Nepali Mantra,978-9937-725-85-7,91,914.35,Shree Tara Books
2023-12-11,Khiladi,978-9937-170-40-8,92,1095.22,Siddhartha Books
2018-12-04,Children's Literature: An Overview,978-9937-938-45-7,63,674.11,Ratna Pustak Bhandar
2019-08-08,Documentary Film Making,978-9937-690-34-0,87,452.6,Srijana Prakashan
2021-07-03,Ghar ko Ghar,978-9937-691-75-9,29,631.84,Shrestha Books
2021-08-08,Photography: Principles and Practice,978-9937-587-96-6,45,629.5,Sajjan Publications
2022-05-31,Smriti,978-9937-796-76-8,93,1062.94,Birat Books
2023-03-30,Sathi Ko Duniya,978-9937-827-11-8,76,1026.95,Katha Ghar
2021-05-29,Shashwat,978-9937-922-54-5,48,263.17,Shree Tara Books
2023-11-13,Pariwartan Ko Disha,978-9937-216-64-2,81,1175.73,Himal Books
2019-06-03,Shanti Ko Kahani,978-9937-132-31-8,75,593.85,Bhimsen Publications
2022-08-07,Introduction to Fashion Design,978-9937-124-38-6,91,1122.74,Srijana Prakashan
2023-07-18,Nepali Bhasha ra Sahitya,978-9937-366-62-8,34,428.88,Mitra and Brothers
2019-04-19,Public Relations: Concepts and Practices,978-9937-967-82-9,63,295.31,Pragya Publications
2023-05-28,Katha Ko Prakash,978-9937-541-67-4,97,377.63,Educational Publishing House
2023-02-21,Anand Ko Vishwa,978-9937-119-28-7,28,1498.46,Himalayan Book Centre
2023-01-27,Sanskriti Ra Itihas,978-9937-881-60-0,57,678.16,Siddhartha Books
2024-01-06,Bharatiya,978-9937-876-82-7,23,983.74,Gyan Books
2021-12-24,Mathematics for Management,978-9937-384-92-9,53,1464.75,Shrestha Books
2021-01-11,Jatra Ma Khushi Yatra,978-9937-356-58-3,99,168.84,Sajha Yatayat
2019-01-16,Gulab,978-9937-679-24-6,32,1096.23,Samyukta Prakashan
2019-03-07,Recreational Therapy,978-9937-937-67-2,73,1486.06,Avinash Prakashan
2018-12-18,Dhalko Baato,978-9937-258-10-6,69,1432.3,Nirmal Publication
2020-05-09,Samaya Ma Duniya,978-9937-689-90-1,67,228.0,Shrestha Books
2023-02-03,Shree Krishna,978-9937-506-20-3,62,250.25,Siddhartha Books
2023-12-27,Documentary Film Making,978-9937-690-34-0,59,448.12,Om Publications
2023-03-16,Chhalphal Ko Kahani,978-9937-818-83-1,99,1450.38,Gyan Books
2022-10-16,Ghar Ko Samaya,978-9937-805-39-2,79,293.66,Mahatma Publication
2022-08-23,Engineering Management: Theory and Practice,978-9937-495-22-0,83,695.46,Shree Tara Books
2018-11-26,Ramchandra,978-9937-931-84-9,37,1015.5,Mandala Book Point
2024-04-19,Sanskar Ko Asar,978-9937-160-42-9,13,520.02,Bhimsen Publications
2020-11-06,Ghatana,978-9937-204-71-5,44,330.15,Gyan Books
2018-12-25,Dharmapath,978-9937-466-73-7,93,667.1,Sita Ram Prakashan
2019-09-19,Natural Disasters in Nepal,978-9937-261-33-8,96,1249.74,Sajha Prakashan
2019-02-04,Chhalphal Ko Khushi,978-9937-563-36-2,82,867.43,Pragya Publications
2021-12-29,Manavadhikar Ko Itihas Ra Bato,978-9937-178-83-3,31,870.19,Himal Books
2023-08-08,Katha Ko Yatra,978-9937-601-78-2,50,1163.67,Gyan Books
2023-05-05,Ramailo Khushi Kahani,978-9937-384-97-4,37,498.95,Siddhartha Books
2022-08-28,Himalaya Ka Katha,978-9937-326-98-0,92,614.88,Mandala Book Point
2020-10-19,Dharma Ko Anand,978-9937-399-30-4,34,1118.93,Nirmal Publication
2020-07-03,Ekta Ko Mahatv,978-9937-632-54-6,76,283.87,Himalayan Book Centre
2023-08-28,Chhito Sundar,978-9937-584-80-8,57,791.88,Sajha Yatayat
2020-01-14,Modern Physics: Concepts and Applications,978-9937-171-55-2,29,503.9,Samyukta Prakashan
2020-05-03,Pramod,978-9937-348-27-8,25,689.88,Nepalaya
2022-06-20,Neuroscience: Basics and Applications,978-9937-783-88-2,55,405.07,Om Publications
2024-08-20,Prashasan Ra Samaj,978-9937-105-92-0,18,428.6,Sita Ram Prakashan
2020-10-19,Urban Design: Concepts and Applications,978-9937-717-57-4,63,1078.78,Nepalaya
2024-06-02,Ramailo Chhito,978-9937-322-73-5,89,379.94,Sita Ram Prakashan
2020-11-02,Manav Ko Maya,978-9937-278-97-6,18,1431.47,Bhimsen Publications
2023-12-13,Saroj,978-9937-931-24-5,60,579.53,Ekta Books
2022-07-25,Globalization and Its Impact,978-9937-623-47-4,89,1431.44,Himalayan Book Centre
2024-06-07,Man Ko Samaya,978-9937-218-83-9,100,1097.09,Sajjan Publications
2024-08-30,Shiksha Ko Samaya,978-9937-957-36-5,74,1361.41,Sajha Yatayat
2021-02-17,Ramailo Yatra Sundar,978-9937-809-86-2,33,1070.42,Gyan Books
2020-02-26,Bujhi Ko Kahani,978-9937-966-25-9,81,1173.53,Himalayan Book Centre
2024-04-17,Katha Nanda,978-9937-781-42-7,36,759.93,Shankar Books
2024-03-12,Jatra Ka Hunkar,978-9937-645-21-0,15,849.67,Educational Publishing House
2024-06-07,History of Physical Education in Nepal,978-9937-992-28-2,64,819.38,Adroit Publishers
2022-03-19,Yugal Gurung,978-9937-979-11-1,84,1309.86,Himal Books
2020-02-12,Samaya Ko Dhamaka,978-9937-700-37-0,22,1411.96,Adroit Publishers
2020-02-12,Ramailo Jeevan,978-9937-284-33-8,50,658.21,Bhimsen Publications
2019-11-21,Health Communication,978-9937-370-37-9,22,1057.4,Srijana Prakashan
2024-08-10,Samajik Itihas Ko Mahatv,978-9937-500-62-0,71,491.84,Bhimsen Publications
2020-02-11,Bato Haru,978-9937-760-27-3,11,233.83,Mahatma Publication
