Book Title,Author,ISBN,Genre,Publication Year,Language,Stock,Price (NPR),Publisher,Reorder Point
Dukha,Phatte Bahadur Singh,978-9937-722-65-5,Fiction,2020,Maithili,96,1092.39,Fine Print,14
Aakash Ko Katha,Kedar Man Singh,978-9937-566-82-1,Academic,2019,English,78,1661.67,Bookhill,11
Maya,Dipesh Sharma,978-9937-864-36-2,Fiction,2023,Newari,58,982.97,Sajha Prakashan,6
Zindagi,Yogendra Kandel,978-9937-606-77-6,Academic,2020,Newari,34,1875.05,Ratna Pustak Bhandar,7
Mangal,Hangyug Agyat,978-9937-108-15-9,Children's books,2020,Maithili,46,1523.42,Bookhill,17
Sapana,Sanjay Shrestha,978-9937-740-69-1,Children's books,2023,Maithili,50,460.12,Mandala Book Point,9
Urmila,Saraswati Prasad Koirala,978-9937-710-99-7,Fiction,2022,English,38,1696.55,Mandala Book Point,19
Bhoktali,Anil Thapa,978-9937-464-58-0,Fiction,2020,Hindi,98,1067.73,Mandala Book Point,20
Nepali Grammar,Suman Thapa,978-9937-961-39-5,Fiction,2024,Maithili,17,538.81,Nepalaya,12
Essentials of Business Communication,Dhruba Chandra Gautam,978-9937-655-28-4,Academic,2019,Hindi,67,1579.0,Mandala Book Point,15
Mathematics for Management,Dinesh Sharma,978-9937-384-92-9,Fiction,2022,Maithili,34,1874.45,Ratna Pustak Bhandar,20
History of Nepal,Deepak Sharma,978-9937-112-35-7,Fiction,2020,Hindi,60,1430.57,Nepalaya,9
Introduction to Psychology,Rupa Joshi,978-9937-951-79-6,Non-fiction,2020,Maithili,54,1916.2,Pragya Publications,19
Fundamentals of Economics,Manoj Thapa,978-9937-215-59-4,Non-fiction,2019,Hindi,14,1156.8,Fine Print,11
Physics for Class 12,Geeta Tripathee,978-9937-490-83-0,Fiction,2023,Newari,23,906.85,Nepalaya,11
Chemistry Practical,Ram Bahadur Chhetri,978-9937-231-87-3,Children's books,2020,Maithili,97,1275.89,Ratna Pustak Bhandar,10
Biology Workbook,Suman Pokhrel,978-9937-762-66-9,Fiction,2024,Hindi,5,1078.8,Pragya Publications,7
Geography of Nepal,Suman Pokhrel,978-9937-738-51-5,Academic,2022,Maithili,17,1718.46,Himalayan Book Centre,10
Computer Science Fundamentals,Nisha Kharel,978-9937-760-84-9,Academic,2020,Maithili,52,1925.03,Himalayan Book Centre,14
Basic Statistics,Jhamak Ghimire,978-9937-318-31-1,Fiction,2018,Nepali,17,759.31,Ratna Pustak Bhandar,5
Sociology in Nepal,Shrawan Mukarung,978-9937-848-46-4,Non-fiction,2023,Hindi,83,1976.87,Educational Publishing House,12
Public Administration,Jhamak Ghimire,978-9937-731-90-1,Non-fiction,2018,Nepali,57,1629.8,Sajha Prakashan,13
Political Science,Sudeep Koirala,978-9937-424-81-1,Academic,2021,Newari,23,451.8,Nepalaya,18
Principles of Management,Manoj Thapa,978-9937-470-12-8,Academic,2019,Nepali,47,629.03,Pragya Publications,18
Financial Accounting,Saroj Bhandari,978-9937-863-63-8,Children's books,2021,Nepali,71,346.47,Bookhill,5
Marketing Management,Dinesh Raj Kafle,978-9937-126-66-1,Academic,2024,Hindi,92,1661.65,Ratna Pustak Bhandar,15
Management Information Systems,Ambika Prasad Upadhyaya,978-9937-428-92-0,Children's books,2022,Newari,56,1985.57,Pragya Publications,6
Human Resource Management,Abhi Subedi,978-9937-296-80-9,Fiction,2023,Newari,33,719.16,Educational Publishing House,14
Engineering Mechanics,Geeta Tripathee,978-9937-994-99-1,Fiction,2019,Hindi,49,1385.21,Nepalaya,15
Civil Engineering Basics,Dharma Ratna Yami,978-9937-423-50-9,Academic,2024,Nepali,69,1852.31,Bookhill,5
Architecture in Nepal,Geeta Tripathee,978-9937-390-25-0,Children's books,2019,Nepali,20,383.86,Ratna Pustak Bhandar,12
Ethics in Education,Jhamak Ghimire,978-9937-575-15-1,Non-fiction,2024,Hindi,58,482.3,Himalayan Book Centre,14
Social Studies for Kids,Shanti Thapa,978-9937-652-71-0,Fiction,2018,English,24,565.93,Pragya Publications,17
Environmental Science,Madan Mani Dixit,978-9937-162-81-0,Children's books,2018,Nepali,59,681.12,Ratna Pustak Bhandar,14
Research Methodology,Suman Pokhrel,978-9937-452-11-5,Fiction,2018,Nepali,76,871.79,Mandala Book Point,18
Statistics for Research,Anupama Bhattarai,978-9937-658-13-7,Fiction,2022,Newari,26,985.4,Bookhill,10
Project Management,Manoj Kumar,978-9937-929-90-7,Fiction,2019,Newari,15,1340.49,Ratna Pustak Bhandar,7
Communication Skills,Bhupi Sherchan,978-9937-240-23-8,Children's books,2019,Newari,46,449.72,Mandala Book Point,14
Quantitative Aptitude,Pratik Shrestha,978-9937-628-16-3,Fiction,2024,English,75,288.73,Nepalaya,6
Digital Marketing,Ashesh Malla,978-9937-902-74-9,Academic,2024,Hindi,97,564.8,Mandala Book Point,13
Entrepreneurship Development,Saroj Bhandari,978-9937-425-96-3,Academic,2023,Newari,55,636.6,Himalayan Book Centre,15
Business Law,Jhamak Ghimire,978-9937-414-50-1,Fiction,2024,Nepali,31,751.28,Ekta Books,8
Disaster Management,Nisha Kharel,978-9937-109-52-4,Non-fiction,2019,English,38,1498.38,Educational Publishing House,7
Logistics Management,Bhanubhakta Acharya,978-9937-312-55-1,Fiction,2021,Nepali,46,1340.31,Himalayan Book Centre,12
Supply Chain Management,Gokul Joshi,978-9937-431-56-9,Fiction,2023,English,7,1303.78,Ekta Books,18
Microeconomics,Yogendra Kandel,978-9937-744-22-1,Fiction,2019,Newari,90,1103.9,Nepalaya,13
Macroeconomics,Aastha Sharma,978-9937-715-14-7,Fiction,2021,Hindi,65,1373.74,Fine Print,18
Investment Management,Buddhisagar,978-9937-568-30-0,Non-fiction,2019,English,57,792.55,Mandala Book Point,14
Corporate Finance,Pawan Thapa,978-9937-804-29-9,Fiction,2023,English,78,562.41,Sajha Prakashan,18
Marketing Research,Pratik Shrestha,978-9937-124-60-5,Fiction,2021,English,75,644.02,Pragya Publications,9
Consumer Behavior,Geeta Tripathee,978-9937-340-34-6,Non-fiction,2022,Hindi,95,1083.27,Mandala Book Point,15
Business Strategy,Subash Bhandari,978-9937-650-40-0,Academic,2022,Hindi,95,1044.93,Nepalaya,11
Organizational Behavior,Sanjay Kumar Thapa,978-9937-225-75-7,Non-fiction,2021,Maithili,0,1975.79,Mandala Book Point,6
Quantitative Research Methods,Bhupi Sherchan,978-9937-588-83-1,Fiction,2023,Nepali,21,1589.56,Educational Publishing House,19
Qualitative Research Methods,Ashesh Malla,978-9937-898-21-9,Academic,2023,English,71,1582.21,Nepalaya,15
Econometrics,Bhim Nidhi Tiwari,978-9937-244-11-5,Academic,2021,Newari,59,1894.68,Bookhill,9
A Brief History of Nepal,Yuyutsu Sharma,978-9937-242-24-7,Non-fiction,2024,Newari,31,1907.07,Himalayan Book Centre,16
Understanding Nepali Politics,Kiran Shrestha,978-9937-178-41-6,Academic,2019,Hindi,99,1676.09,Ekta Books,8
The Beauty of Nepali Culture,Upendra Subba,978-9937-720-74-3,Children's books,2021,Nepali,34,220.14,Fine Print,19
Natural Disasters in Nepal,Suman Pokhrel,978-9937-261-33-8,Academic,2024,Nepali,33,1097.29,Ratna Pustak Bhandar,17
Sustainable Development Goals,Dharma Ratna Yami,978-9937-327-48-6,Non-fiction,2018,Hindi,62,234.68,Nepalaya,5
The Art of Meditation,Bhim Nidhi Tiwari,978-9937-563-61-9,Fiction,2024,Nepali,25,1930.41,Ekta Books,16
Yoga and Wellness,Ambika Prasad Upadhyaya,978-9937-883-76-6,Academic,2018,Hindi,35,623.17,Sajha Prakashan,16
Living a Balanced Life,Ambika Prasad Upadhyaya,978-9937-627-63-2,Fiction,2024,Nepali,67,1718.47,Nepalaya,15
The Impact of Climate Change,Purnima Acharya,978-9937-162-11-0,Academic,2023,English,36,1946.28,Pragya Publications,13
Nepal's Biodiversity,Nayan Raj Pandey,978-9937-450-92-2,Non-fiction,2021,Maithili,23,249.38,Fine Print,8
Women Empowerment in Nepal,Jhamak Ghimire,978-9937-772-65-8,Academic,2023,Nepali,80,1965.65,Sajha Prakashan,13
The Philosophy of Happiness,Umesh Niraula,978-9937-707-96-7,Fiction,2018,Newari,4,693.74,Mandala Book Point,8
Economy of Nepal,Yuyutsu Sharma,978-9937-210-59-2,Fiction,2020,Hindi,2,1557.12,Educational Publishing House,11
Health and Nutrition,Nitin Sitaula,978-9937-699-11-8,Fiction,2019,English,70,1614.34,Ekta Books,18
The Role of Media in Society,Sanjay Kumar Thapa,978-9937-457-93-8,Fiction,2021,English,43,965.48,Fine Print,16
Personal Finance Management,Ramesh Rathi,978-9937-348-38-3,Academic,2018,Maithili,83,1101.18,Ekta Books,17
Public Health Challenges in Nepal,Dharma Ratna Yami,978-9937-659-50-9,Non-fiction,2021,Newari,92,625.81,Ekta Books,11
Technology in Education,Saraswati Prasad Koirala,978-9937-952-26-9,Academic,2021,Newari,90,1829.88,Mandala Book Point,9
Contemporary Nepali Society,Suman Pokhrel,978-9937-670-35-8,Non-fiction,2018,Maithili,8,1857.04,Mandala Book Point,11
The Power of Positivity,Prema Shah,978-9937-911-53-9,Non-fiction,2024,English,1,1516.88,Nepalaya,15
Mindfulness and Mental Health,Ashesh Malla,978-9937-366-47-8,Academic,2018,Hindi,5,550.92,Sajha Prakashan,17
Leadership Skills for Young Adults,Samrat Upadhyay,978-9937-211-79-9,Fiction,2024,Maithili,41,1940.94,Mandala Book Point,10
Understanding Human Behavior,Nayan Raj Pandey,978-9937-882-79-6,Children's books,2018,Newari,71,728.99,Himalayan Book Centre,5
The Science of Happiness,Subash Bhandari,978-9937-451-13-4,Academic,2021,Nepali,55,1967.55,Ekta Books,13
Emotional Intelligence,Shanti Thapa,978-9937-713-29-1,Fiction,2022,Maithili,83,1334.68,Ekta Books,14
Achieving Your Goals,Abhijit Khatri,978-9937-958-53-7,Fiction,2023,English,27,1519.9,Ekta Books,20
Digital Literacy,Geeta Tripathee,978-9937-993-66-0,Academic,2020,Maithili,31,1272.58,Pragya Publications,16
Social Media Impact,Rajan Mukarung,978-9937-521-84-2,Academic,2019,Hindi,89,455.03,Nepalaya,16
Crisis Management,Sangita Thapa,978-9937-484-12-0,Fiction,2022,Newari,89,795.38,Educational Publishing House,15
Negotiation Skills,Shrawan Mukarung,978-9937-770-94-6,Children's books,2020,Maithili,36,1414.43,Nepalaya,15
Communication in Organizations,Laxmi Prasad Devkota,978-9937-702-99-5,Fiction,2019,Newari,5,1170.54,Himalayan Book Centre,16
Kura Kura,Bhupi Sherchan,978-9937-732-77-3,Non-fiction,2021,English,6,1750.78,Mandala Book Point,7
Ghar Ko Kahani,Manoj Kumar,978-9937-363-83-2,Fiction,2019,Maithili,84,779.56,Ekta Books,8
Suna Ko Chhito,Samrat Upadhyay,978-9937-472-80-5,Academic,2022,Newari,44,232.51,Pragya Publications,8
Kheti Ko Katha,Shrawan Mukarung,978-9937-219-80-4,Fiction,2021,Newari,85,1718.35,Bookhill,19
Chhito Bato,Keshav Bhatta,978-9937-724-79-1,Academic,2018,Nepali,7,694.78,Educational Publishing House,19
Nepal Ko Chhito,Jhamak Ghimire,978-9937-718-71-1,Fiction,2023,Hindi,96,1917.95,Sajha Prakashan,14
Khasi Ko Bato,Suman Thapa,978-9937-149-16-0,Fiction,2022,Nepali,85,1962.71,Pragya Publications,15
Sajilo Ghar,Rupa Joshi,978-9937-832-96-3,Academic,2020,Maithili,47,576.82,Ekta Books,15
Shanti Ko Kahani,Ashesh Malla,978-9937-132-31-8,Academic,2022,English,35,768.95,Sajha Prakashan,12
Buddhi Kura,Aastha Sharma,978-9937-739-41-7,Academic,2020,Maithili,67,1001.95,Educational Publishing House,13
Bhai Ko Ghar,Nirakar Shrestha,978-9937-329-41-2,Non-fiction,2020,English,10,926.7,Ratna Pustak Bhandar,8
Maya Ko Katha,Anita Shrestha,978-9937-761-49-7,Non-fiction,2019,Nepali,48,839.21,Mandala Book Point,9
Bal Sahitya,Nayan Raj Pandey,978-9937-950-94-6,Non-fiction,2019,English,11,1802.97,Bookhill,12
Buddhi Badri,Kiran Shrestha,978-9937-318-50-1,Non-fiction,2020,English,79,1423.83,Educational Publishing House,6
Khusi Ko Sathi,Nirakar Ghimire,978-9937-277-27-9,Fiction,2020,Hindi,75,1296.84,Ratna Pustak Bhandar,14
Aamako Katha,Parijat,978-9937-406-26-7,Academic,2024,Hindi,40,1589.26,Bookhill,17
Khana Pina Ko Kahani,Ramesh Rathi,978-9937-512-30-6,Fiction,2021,Maithili,75,1825.22,Himalayan Book Centre,7
Bal Katha,Dipesh Sharma,978-9937-128-82-5,Non-fiction,2024,Maithili,72,302.72,Himalayan Book Centre,14
Chha Chha,Ashesh Malla,978-9937-976-28-4,Academic,2020,English,29,397.18,Fine Print,10
Jatra Ko Katha,Madhav Prasad Ghimire,978-9937-990-14-0,Fiction,2021,Maithili,21,1514.41,Nepalaya,14
Timi Ra Ma,Abhijit Khatri,978-9937-469-59-5,Non-fiction,2022,Maithili,6,1119.17,Pragya Publications,19
Nepali Rhymes,Bishweshwar Prasad Koirala,978-9937-398-35-1,Non-fiction,2018,English,14,469.67,Mandala Book Point,10
Sangit Ko Kahani,Kamala Panta,978-9937-746-52-1,Fiction,2022,Newari,80,763.49,Ekta Books,17
Udaan Ko Katha,Krishna Bhooshan Bal,978-9937-439-48-2,Academic,2021,Newari,8,771.89,Fine Print,17
Sathi Haru,Saroj Bhandari,978-9937-188-92-1,Academic,2018,Nepali,1,1235.51,Pragya Publications,12
Sukh Ko Sathi,Pratiksha Sharma,978-9937-461-18-3,Fiction,2022,Maithili,27,766.69,Pragya Publications,13
Sita Ra Ram,Ramesh Rathi,978-9937-858-33-0,Non-fiction,2022,Maithili,54,1793.1,Pragya Publications,19
Timi Ko Katha,Ashesh Malla,978-9937-819-65-9,Non-fiction,2024,Maithili,33,1195.63,Fine Print,12
Bujhi Ko Kahani,Gopal Yonzon,978-9937-966-25-9,Non-fiction,2023,Hindi,38,730.45,Mandala Book Point,19
Chori Ko Bato,Rachana Joshi,978-9937-345-86-5,Fiction,2023,Newari,94,477.15,Fine Print,14
Chhito Haru,Dhruba Chandra Gautam,978-9937-208-56-3,Academic,2021,Maithili,16,1808.87,Ratna Pustak Bhandar,8
Dai Ra Bahini,Dhruba Chandra Gautam,978-9937-472-87-6,Academic,2023,Hindi,87,428.97,Mandala Book Point,10
Ghar Ko Chhito,Gopal Prasad Rimal,978-9937-893-64-6,Non-fiction,2021,English,28,1311.29,Ekta Books,12
Bal Katha Sangraha,Shankar Lamichhane,978-9937-773-91-6,Academic,2024,Newari,42,739.3,Bookhill,20
Sakuntala,Ramesh Bikal,978-9937-161-97-1,Academic,2024,Newari,93,1487.89,Ekta Books,17
Nepal ko Itihas,Dhruba Chandra Gautam,978-9937-692-91-1,Children's books,2020,Hindi,79,1315.32,Educational Publishing House,11
Shree 5 Ambareesh,Suman Pokhrel,978-9937-792-38-5,Children's books,2019,English,90,1568.36,Himalayan Book Centre,6
Ghar Bato,Narayan Wagle,978-9937-590-31-2,Fiction,2018,Nepali,67,1296.99,Ekta Books,7
Kalo Pothi,Gyanendra Shrestha,978-9937-605-36-4,Academic,2024,Nepali,35,1514.06,Fine Print,13
Rato Bangala,Manoj Thapa,978-9937-956-35-3,Academic,2020,Maithili,71,538.86,Himalayan Book Centre,14
Chandra Sekhar,Kedar Man Singh,978-9937-703-15-3,Fiction,2018,Maithili,21,1508.6,Educational Publishing House,6
Basanti,Nayan Raj Pandey,978-9937-575-29-4,Non-fiction,2022,Hindi,92,639.73,Pragya Publications,6
Khaali Bato,Shanti Thapa,978-9937-688-79-1,Fiction,2022,Hindi,64,1203.06,Ekta Books,7
Uran Timi Jaha,Abhijit Khatri,978-9937-860-71-5,Fiction,2019,Newari,80,854.19,Mandala Book Point,11
Mero Nepali,Ramesh Rathi,978-9937-239-96-8,Fiction,2022,Newari,53,1725.16,Ratna Pustak Bhandar,12
Himalaya,Abhi Subedi,978-9937-882-34-6,Fiction,2024,Nepali,54,762.62,Nepalaya,11
Khimti,Dhruba Chandra Gautam,978-9937-123-29-3,Non-fiction,2019,Hindi,90,1907.24,Sajha Prakashan,13
Bhimsen Thapa,Madhav Prasad Ghimire,978-9937-563-26-0,Non-fiction,2023,English,87,1348.37,Fine Print,11
Nepal Ko Prakash,Upendra Subba,978-9937-922-20-9,Fiction,2018,Hindi,16,362.28,Nepalaya,14
Dai Ko Katha,Yogmaya Neupane,978-9937-702-58-6,Non-fiction,2019,Nepali,69,760.05,Nepalaya,19
Panchthar Ka Kura,Jhamak Ghimire,978-9937-951-56-8,Academic,2018,Nepali,50,1487.47,Educational Publishing House,15
Dharam Pustak,Manoj Thapa,978-9937-878-26-4,Fiction,2021,Nepali,35,453.97,Bookhill,9
Hijo Aaja Kal,Purnima Acharya,978-9937-155-18-4,Children's books,2024,Newari,19,1731.79,Ratna Pustak Bhandar,9
Maya Ko Shabdaharu,Shivaji Shrestha,978-9937-854-95-1,Non-fiction,2024,Nepali,31,900.19,Sajha Prakashan,15
Pani Ko Jatra,Bishow Karma,978-9937-429-46-6,Non-fiction,2019,Hindi,19,427.96,Nepalaya,18
Thulo Manchhe,Bhupi Sherchan,978-9937-288-24-1,Non-fiction,2023,Maithili,21,1831.85,Ratna Pustak Bhandar,13
Shyam Sundar,Shankar Lamichhane,978-9937-491-50-7,Non-fiction,2024,Hindi,73,1770.91,Pragya Publications,15
Yatra,Dinesh Raj Kafle,978-9937-236-75-3,Non-fiction,2024,Maithili,74,912.52,Ratna Pustak Bhandar,7
Janakpur Dham,Nirakar Shrestha,978-9937-269-26-6,Children's books,2019,Maithili,44,1729.33,Ratna Pustak Bhandar,17
Sundar Shanta,Ashesh Malla,978-9937-231-39-4,Fiction,2022,Newari,66,594.86,Sajha Prakashan,15
Nepali Katha,Pawan Thapa,978-9937-631-85-6,Fiction,2023,Nepali,77,625.64,Mandala Book Point,15
Dhananjoy,Gokul Joshi,978-9937-302-77-5,Academic,2024,English,79,1781.86,Sajha Prakashan,16
Bhai Ko Bhavishya,Girija Prasad Joshi,978-9937-716-44-8,Non-fiction,2022,Maithili,88,834.92,Ekta Books,5
Ma Timro Sangai,Bishow Karma,978-9937-394-47-5,Fiction,2020,English,90,632.6,Pragya Publications,18
Diyo Jwala,Raju Kafle,978-9937-979-29-5,Academic,2023,Maithili,73,914.54,Ratna Pustak Bhandar,12
Gorkha Jatra,Rajan Mukarung,978-9937-343-39-7,Academic,2019,Newari,33,1941.68,Mandala Book Point,12
Maile Kahan Pako,Manjushree Thapa,978-9937-928-70-4,Fiction,2021,Newari,92,983.51,Himalayan Book Centre,20
Sajha Manchhe,Rita Thapa,978-9937-565-95-3,Fiction,2024,Nepali,85,1590.64,Sajha Prakashan,12
Himal Sagar,Dharanidhar Koirala,978-9937-391-11-3,Fiction,2022,Nepali,43,343.84,Fine Print,9
Sakha,Keshav Bhatta,978-9937-271-79-4,Fiction,2019,Maithili,12,632.63,Educational Publishing House,11
Gulab,Dinesh Raj Kafle,978-9937-679-24-6,Non-fiction,2021,Hindi,88,802.9,Fine Print,6
Chura,Maya Sharma,978-9937-323-61-1,Non-fiction,2020,Nepali,87,546.89,Pragya Publications,13
Aama Ko Asamanta,Ambika Prasad Upadhyaya,978-9937-315-94-8,Academic,2019,English,52,1552.29,Mandala Book Point,12
Yatra Yatra,Umesh Niraula,978-9937-483-76-7,Children's books,2022,Newari,11,1491.43,Pragya Publications,14
Mero Katha,Arun Kumar Shrestha,978-9937-454-56-8,Academic,2022,Nepali,5,1999.06,Nepalaya,7
Manchheko Sahar,Ramesh Rathi,978-9937-149-25-6,Non-fiction,2024,Nepali,67,1543.77,Bookhill,20
Kahani Ghar,Shivaji Shrestha,978-9937-398-17-7,Fiction,2024,Hindi,11,1379.01,Sajha Prakashan,18
Samaya Ko Sanghars,Nitin Sitaula,978-9937-641-51-2,Academic,2021,English,54,922.5,Sajha Prakashan,11
Purbeli,Kiran Shrestha,978-9937-702-45-4,Non-fiction,2018,Nepali,22,1857.13,Ekta Books,16
Prashant,Dinesh Raj Kafle,978-9937-712-13-3,Non-fiction,2024,Nepali,11,685.62,Sajha Prakashan,14
Kahani Ko Raja,Sudeep Koirala,978-9937-928-45-1,Academic,2019,Hindi,11,1601.61,Fine Print,9
Bharat,Dharma Ratna Yami,978-9937-398-54-3,Fiction,2024,Nepali,22,1408.29,Fine Print,15
Jibanda Darta,Ramesh Kshitij,978-9937-698-40-8,Academic,2021,Newari,67,468.52,Himalayan Book Centre,17
Chhakka Panja,Pratiksha Sharma,978-9937-579-94-6,Fiction,2023,English,37,653.29,Ratna Pustak Bhandar,7
Ghar Ko Raat,Dinesh Raj Kafle,978-9937-182-30-7,Non-fiction,2020,English,77,1148.94,Nepalaya,7
Nepal Ko Rajneeti,Bhupi Sherchan,978-9937-338-68-6,Fiction,2023,Maithili,53,1070.44,Fine Print,18
Ma Katha,Pratik Shrestha,978-9937-136-42-7,Fiction,2021,Nepali,73,1649.44,Pragya Publications,6
Maya Ko Phool,Ashesh Malla,978-9937-430-71-4,Non-fiction,2022,Newari,36,1078.56,Fine Print,13
Shishir,Dinesh Raj Kafle,978-9937-408-24-2,Academic,2020,English,49,308.47,Educational Publishing House,11
Ek Chhoto Yatra,Dharma Ratna Yami,978-9937-186-28-8,Fiction,2021,Newari,49,1979.08,Sajha Prakashan,15
Naya Samaya,Yogendra Kandel,978-9937-738-38-8,Non-fiction,2018,English,65,330.82,Ekta Books,17
Naya Yatra,Girija Prasad Joshi,978-9937-900-38-6,Fiction,2023,Newari,66,1768.78,Mandala Book Point,18
Katha Kendra,Madan Mani Dixit,978-9937-528-70-2,Academic,2024,Hindi,39,1466.66,Ekta Books,11
Maanav,Narayan Wagle,978-9937-497-94-0,Fiction,2020,Newari,74,1808.25,Bookhill,7
Maya Ra Maanav,Parijat,978-9937-343-16-1,Academic,2021,Maithili,37,243.85,Himalayan Book Centre,13
Nepal Ko Yatra,Bhanu Aacharya,978-9937-223-32-3,Fiction,2021,Newari,66,1509.07,Nepalaya,16
Bhuichalo,Dharanidhar Koirala,978-9937-898-88-5,Fiction,2023,Maithili,73,1849.74,Fine Print,7
Kalank,Saraswati Prasad Koirala,978-9937-427-14-4,Fiction,2023,Newari,30,627.55,Fine Print,19
Chandra Surya,Deepak Sharma,978-9937-464-29-1,Non-fiction,2018,Maithili,3,1166.09,Mandala Book Point,8
Nepali Sahitya,Pratiksha Sharma,978-9937-865-47-4,Academic,2020,Newari,96,299.92,Himalayan Book Centre,11
Yatra Ko Marg,Prema Shah,978-9937-131-47-5,Academic,2023,Newari,27,847.62,Fine Print,20
Pratiksha,Bhim Nidhi Tiwari,978-9937-120-92-1,Fiction,2022,Newari,78,1446.82,Pragya Publications,14
Dhalko Baato,Sanjay Baral,978-9937-258-10-6,Non-fiction,2019,Hindi,99,1361.9,Sajha Prakashan,9
Himalayan Dreams,Gopal Yonzon,978-9937-582-72-9,Non-fiction,2024,Maithili,86,1746.24,Ratna Pustak Bhandar,14
Sukha Dukha,Kedar Man Singh,978-9937-619-39-8,Fiction,2021,Newari,13,1598.6,Educational Publishing House,8
Mitrata,Suman Pokhrel,978-9937-395-14-7,Fiction,2023,Maithili,45,550.83,Fine Print,11
